,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
764,Weiss Pavel Mgr.,Mgr.,57,SNK Evropští demokraté,SNK ED,BEZPP,1,2022,4.79,1,1,2006
765,Winterová Jana,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,13,2286,2.38,7,0,2006
766,Woznica Stanislav Ing.,Ing.,37,VOLBA PRO MOST,NK,BEZPP,19,715,2.04,0,0,2006
767,Woznica Vlastimil MUDr.,MUDr.,40,SNK Evropští demokraté,SNK ED,BEZPP,13,1234,2.92,1,0,2006
768,Zahradníček Václav Ing.,Ing.,39,Sdružení Mostečané Mostu,NK,BEZPP,10,6409,2.3000000000000003,10,1,2006
769,Zahradníková Alena Mgr.,Mgr.,53,VOLBA PRO MOST,NK,BEZPP,36,796,2.27,0,0,2006
770,Záruba Roman MUDr.,MUDr.,37,Sdružení pro sport a zdraví,SSZ,BEZPP,19,670,2.09,0,0,2006
771,Zaťko Antonín,,36,Komunistická str.Čech a Moravy,KSČM,KSČM,27,2825,2.18,19,0,2006
772,Zavadil Arnošt,,36,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,NEZ/DEM,19,110,1.9100000000000001,0,0,2006
773,Zeiler Vilém,,33,Sdružení pro sport a zdraví,SSZ,BEZPP,41,488,1.52,0,0,2006
774,Zelenka Jiří Ing.,Ing.,50,Sdružení Mostečané Mostu,NK,BEZPP,2,6871,2.46,1,1,2006
775,Zelingerová Marcela,,26,Strana zelených,SZ,SZ,24,824,2.05,0,0,2006
776,Zíbar Miroslav Ing.,Ing.,53,VOLBA PRO MOST,NK,BEZPP,35,683,1.95,0,0,2006
777,Ziegler Bohuslav,,60,Sdružení Mostečané Mostu,SOS,BEZPP,38,5969,2.14,20,0,2006
778,Žižka Jan Ing.,Ing.,56,Občanská demokratická strana,ODS,ODS,39,3457,2.11,27,0,2006
779,Žižka Jiří,,68,Občanská demokratická strana,ODS,ODS,31,3615,2.21,20,0,2006
780,Adámek Vladislav,,39,Věci veřejné,VV,BEZPP,34,615,2.16,0,0,2010
781,Anderle Miloslav,,50,Sdružení Mostečané Mostu,NK,BEZPP,32,9295,2.19,6,0,2010
782,Andreaová Jaroslava Alexandra JUDr.,JUDr.,58,Česká str.sociálně demokrat.,ČSSD,ČSSD,10,2436,2.29,4,0,2010
783,Antoš Roman,,47,Sdružení Mostečané Mostu,S.cz,S.cz,13,9542,2.25,13,1,2010
784,Aulický Václav,,37,Komunistická str.Čech a Moravy,KSČM,BEZPP,11,1858,2.25,6,0,2010
785,Aulický Václav,,65,Komunistická str.Čech a Moravy,KSČM,BEZPP,40,1671,2.0300000000000002,35,0,2010
786,Babák Jindřich,,56,Komunistická str.Čech a Moravy,KSČM,KSČM,18,1879,2.2800000000000002,13,0,2010
787,Baboučková Marcela,,54,Věci veřejné,VV,BEZPP,11,782,2.75,0,0,2010
788,Balín Roman,,29,"""Občané městu, město občanům""",OMMO,OMMO,11,377,2.22,0,0,2010
789,Balín Vlastimil RSDr.,RSDr.,59,"""Občané městu, město občanům""",OMMO,BEZPP,1,702,4.14,0,0,2010
790,Balínová Petra,,29,"""Občané městu, město občanům""",OMMO,BEZPP,43,334,1.97,0,0,2010
791,Baňková Andrea,,23,TOP 09,TOP 09,TOP 09,30,972,2.34,23,0,2010
792,Barna Michal,,47,OK-Občanský Kontext,NK,BEZPP,30,367,1.82,0,0,2010
793,Baroň Miroslav,,23,TOP 09,TOP 09,TOP 09,34,968,2.33,27,0,2010
794,Bárta Eduard Ing.,Ing.,52,Občanská demokratická strana,ODS,ODS,33,2453,2.5300000000000002,5,1,2010
795,Bárta František,,30,Věci veřejné,VV,BEZPP,27,645,2.27,0,0,2010
796,Bartáková Jiřina,,48,Dělnic.str.sociální spravedl.,DSSS,BEZPP,9,439,2.31,0,0,2010
797,Bártl Vladimír Ing. MBA,Ing.,49,Občanská demokratická strana,ODS,ODS,7,2293,2.36,7,0,2010
798,Bártlová Lenka Ing.,Ing.,44,Občanská demokratická strana,ODS,ODS,30,2217,2.2800000000000002,25,0,2010
799,Bažant Martin Mgr.,Mgr.,34,OK-Občanský Kontext,SZ,SZ,16,480,2.38,0,0,2010
800,Bažant Petr Mgr.,Mgr.,59,Věci veřejné,VV,BEZPP,17,824,2.9,0,0,2010
801,Bednářová Ilona,,36,TOP 09,TOP 09,TOP 09,29,1060,2.5500000000000003,22,0,2010
802,Bejšovcová Ingrid Ing.,Ing.,54,Sdružení Mostečané Mostu,NK,BEZPP,40,9091,2.14,14,0,2010
803,Belej Milan,,40,Komunistická str.Čech a Moravy,KSČM,KSČM,5,1936,2.35,1,0,2010
804,Belej Radek,,35,Komunistická str.Čech a Moravy,KSČM,KSČM,3,2051,2.49,3,1,2010
805,Beneš Milan Bc.,Bc.,24,Česká str.sociálně demokrat.,ČSSD,ČSSD,19,2349,2.21,13,0,2010
806,Beránková Anna Ing.,Ing.,64,Sdružení Mostečané Mostu,NK,BEZPP,30,9246,2.18,4,0,2010
807,Berger František,,50,Sdružení Mostečané Mostu,NK,BEZPP,20,9484,2.24,20,1,2010
808,Berka Jiří Mgr.,Mgr.,57,OK-Občanský Kontext,NK,BEZPP,19,476,2.36,0,0,2010
809,Bíbová Vlasta,,63,"""Občané městu, město občanům""",OMMO,OMMO,4,410,2.41,0,0,2010
810,Bidlo Jiří,,23,"""Občané městu, město občanům""",OMMO,BEZPP,34,346,2.04,0,0,2010
811,Blažková Jitka Mgr.,Mgr.,52,OK-Občanský Kontext,NK,BEZPP,15,508,2.52,0,0,2010
812,Bodnár Dušan Ing.,Ing.,41,OK-Občanský Kontext,SZ,SZ,9,413,2.05,0,0,2010
813,Bodnárová Růžena Bc.,Bc.,40,OK-Občanský Kontext,SZ,BEZPP,38,380,1.8900000000000001,0,0,2010
814,Böhm Libor,,62,Občanská demokratická strana,ODS,ODS,36,1982,2.04,30,0,2010
815,Böhm Miroslav Bc.,Bc.,31,TOP 09,TOP 09,TOP 09,32,992,2.38,25,0,2010
816,Brabec Miroslav,,62,Sdružení Mostečané Mostu,NK,BEZPP,25,9331,2.2,25,1,2010
817,Brabec Zdeněk,,53,Česká str.sociálně demokrat.,ČSSD,ČSSD,3,2704,2.5500000000000003,2,1,2010
818,Breckl Ervín,,53,Sdružení Mostečané Mostu,NK,BEZPP,19,9462,2.23,19,1,2010
819,Brisuda Jiří,,59,Česká str.sociálně demokrat.,ČSSD,ČSSD,44,2076,1.95,38,0,2010
820,Broskovics Petr,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,33,2318,2.18,27,0,2010
821,Břečka Lukáš,,22,TOP 09,TOP 09,TOP 09,42,845,2.0300000000000002,34,0,2010
822,Cakl Oldřich Ing.,Ing.,65,Komunistická str.Čech a Moravy,KSČM,BEZPP,16,1811,2.2,11,0,2010
823,Cestrová Hana,,42,Věci veřejné,VV,BEZPP,9,703,2.48,0,0,2010
824,Čadková Kateřina,,29,Věci veřejné,VV,BEZPP,36,602,2.12,0,0,2010
825,Čapková Irena Ing.,Ing.,52,Sdružení Mostečané Mostu,S.cz,S.cz,2,9800,2.31,3,1,2010
826,Čech Miloslav Bc.,Bc.,30,TOP 09,TOP 09,TOP 09,38,935,2.25,31,0,2010
827,Čech Petr Ing.,Ing.,31,OK-Občanský Kontext,NK,BEZPP,23,430,2.13,0,0,2010
828,Čejková Kamila,,19,"""Občané městu, město občanům""",OMMO,BEZPP,42,335,1.97,0,0,2010
829,Čenkovičová Eva Mgr.,Mgr.,60,OK-Občanský Kontext,NK,BEZPP,10,536,2.66,0,0,2010
830,Čermák Petr Bc.,Bc.,24,Občanská demokratická strana,ODS,ODS,42,1865,1.92,36,0,2010
831,Čermák Zdeněk,,34,Dělnic.str.sociální spravedl.,DSSS,BEZPP,44,360,1.9000000000000001,0,0,2010
832,Čermáková Simona,,31,Dělnic.str.sociální spravedl.,DSSS,BEZPP,31,403,2.12,0,0,2010
833,Černík Vladimír,,49,Česká str.sociálně demokrat.,ČSSD,ČSSD,11,2437,2.29,5,0,2010
834,Černý Josef,,46,Dělnic.str.sociální spravedl.,DSSS,DSSS,7,464,2.45,0,0,2010
835,Černý Václav,,57,"""Občané městu, město občanům""",OMMO,BEZPP,45,333,1.96,0,0,2010
836,Čihula Petr Ing.,Ing.,40,Věci veřejné,VV,BEZPP,2,883,3.11,0,0,2010
837,Dernerová Alena MUDr.,MUDr.,52,Sdružení Mostečané Mostu,NK,BEZPP,3,10924,2.58,1,1,2010
838,Dolanský Jiří,,21,"""Občané městu, město občanům""",OMMO,BEZPP,19,362,2.13,0,0,2010
839,Doležal Jan,,20,"""Občané městu, město občanům""",OMMO,BEZPP,9,395,2.32,0,0,2010
840,Doležalová Kristina,,22,Komunistická str.Čech a Moravy,KSČM,KSČM,28,1793,2.17,23,0,2010
841,Donát Daniel,,32,"""Občané městu, město občanům""",OMMO,OMMO,18,353,2.08,0,0,2010
842,Doseděl Ladislav,,62,"""Občané městu, město občanům""",OMMO,BEZPP,10,348,2.05,0,0,2010
843,Drdlíková Irena,,28,Česká str.sociálně demokrat.,ČSSD,ČSSD,31,2279,2.14,25,0,2010
844,Drtík Daniel MUDr.,MUDr.,39,Občanská demokratická strana,ODS,ODS,9,2457,2.5300000000000002,4,1,2010
845,Dušek Radovan Ing.,Ing.,39,Občanská demokratická strana,ODS,ODS,19,2122,2.18,15,0,2010
846,Dvorščáková Jitka,,32,TOP 09,TOP 09,TOP 09,20,1072,2.58,16,0,2010
847,Dvořáková Veronika,,23,Česká str.sociálně demokrat.,ČSSD,ČSSD,42,2149,2.02,36,0,2010
848,Erlitzová Alena,,53,Sdružení Mostečané Mostu,NK,BEZPP,15,9497,2.24,15,1,2010
849,Fabian Alois,,49,Věci veřejné,VV,BEZPP,15,676,2.38,0,0,2010
850,Fadrhons Petr Mgr.,Mgr.,38,OK-Občanský Kontext,NK,BEZPP,14,413,2.05,0,0,2010
851,Feketová Iveta,,44,Česká str.sociálně demokrat.,ČSSD,ČSSD,16,2358,2.22,10,0,2010
852,Fencl Miroslav,,48,Sdružení Mostečané Mostu,S.cz,S.cz,5,9563,2.2600000000000002,5,1,2010
853,Fiedler Petr,,66,Komunistická str.Čech a Moravy,KSČM,BEZPP,39,1713,2.08,34,0,2010
854,Franěk Jiří,,25,Dělnic.str.sociální spravedl.,DSSS,DSSS,11,429,2.2600000000000002,0,0,2010
855,Franěk Petr,,60,Věci veřejné,VV,BEZPP,37,587,2.07,0,0,2010
856,Friček Jaroslav,,33,Dělnic.str.sociální spravedl.,DSSS,BEZPP,20,421,2.22,0,0,2010
857,Fröhlich Lukáš,,30,"""Občané městu, město občanům""",OMMO,BEZPP,31,351,2.07,0,0,2010
858,Fröhlich Petr Bc.,Bc.,34,"""Občané městu, město občanům""",OMMO,OMMO,6,389,2.29,0,0,2010
859,Fröhlichová Monika,,31,"""Občané městu, město občanům""",OMMO,BEZPP,37,355,2.09,0,0,2010
860,Frýdová Michaela,,27,Občanská demokratická strana,ODS,ODS,37,1968,2.0300000000000002,31,0,2010
861,Fukárek Karel,,38,Komunistická str.Čech a Moravy,KSČM,KSČM,19,1800,2.18,14,0,2010
862,Gába Karel,,39,Věci veřejné,VV,BEZPP,19,652,2.3000000000000003,0,0,2010
863,Gabčo Karel,,48,Česká str.sociálně demokrat.,ČSSD,ČSSD,43,2078,1.96,37,0,2010
864,Giampaoli Karel Ing.,Ing.,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,7,2546,2.4,1,0,2010
865,Gollová Filomena,,73,OK-Občanský Kontext,SZ,SZ,41,333,1.6500000000000001,0,0,2010
866,Gremlica Oldřich,,62,"""Občané městu, město občanům""",OMMO,BEZPP,41,333,1.96,0,0,2010
867,Gremlica Oldřich,,35,OK-Občanský Kontext,NK,BEZPP,25,387,1.92,0,0,2010
868,Gröger Roman,,46,Česká str.sociálně demokrat.,ČSSD,ČSSD,37,2224,2.09,31,0,2010
869,Gruntová Blanka,,44,Věci veřejné,VV,BEZPP,23,694,2.44,0,0,2010
870,Gyurján Michal DiS.,DiS.,23,Věci veřejné,VV,BEZPP,22,663,2.33,0,0,2010
871,Hamouz Emil,,44,OK-Občanský Kontext,SZ,SZ,2,617,3.0700000000000003,0,0,2010
872,Hamza Karel,,31,Věci veřejné,VV,BEZPP,44,461,1.62,0,0,2010
873,Hasman Jiří,,61,Občanská demokratická strana,ODS,ODS,12,2250,2.32,10,0,2010
874,Hauf Rudolf,,57,Věci veřejné,VV,BEZPP,18,636,2.24,0,0,2010
875,Hauserová Petra,,33,Sdružení Mostečané Mostu,NK,BEZPP,38,9149,2.16,12,0,2010
876,Hauschild Radek,,36,Česká str.sociálně demokrat.,ČSSD,ČSSD,30,2314,2.18,24,0,2010
877,Havlůj Aleš Ing.,Ing.,27,Občanská demokratická strana,ODS,ODS,35,2079,2.14,29,0,2010
878,Hladík Jan,,56,Občanská demokratická strana,ODS,ODS,41,1893,1.95,35,0,2010
879,Hodek František,,39,Komunistická str.Čech a Moravy,KSČM,BEZPP,25,1764,2.14,20,0,2010
880,Hodek Pavel,,21,Komunistická str.Čech a Moravy,KSČM,BEZPP,32,1734,2.1,27,0,2010
881,Hofmann Tomáš Ing.,Ing.,34,Občanská demokratická strana,ODS,ODS,24,2286,2.35,20,0,2010
882,Hofmann Václav PhDr.,PhDr.,56,Občanská demokratická strana,ODS,ODS,13,2848,2.93,1,1,2010
883,Holý Ľubomír,,44,Česká str.sociálně demokrat.,ČSSD,ČSSD,2,2655,2.5,3,1,2010
884,Horáková Eva,,59,Sdružení Mostečané Mostu,NK,BEZPP,29,9312,2.2,3,0,2010
885,Hortig František,,28,Dělnic.str.sociální spravedl.,DSSS,BEZPP,14,431,2.27,0,0,2010
886,Hořínek Jaroslav,,48,Dělnic.str.sociální spravedl.,DSSS,BEZPP,36,390,2.06,0,0,2010
887,Hořínková Bohumila,,40,Dělnic.str.sociální spravedl.,DSSS,BEZPP,39,394,2.08,0,0,2010
888,Hošek Martin,,40,Komunistická str.Čech a Moravy,KSČM,KSČM,6,1963,2.38,2,0,2010
889,Houska Roman MUDr.,MUDr.,37,TOP 09,TOP 09,TOP 09,25,1382,3.3200000000000003,1,0,2010
890,Houška Tomáš,,24,Česká str.sociálně demokrat.,ČSSD,ČSSD,27,2307,2.17,21,0,2010
891,Hrdinová Libuše Mgr.,Mgr.,43,Občanská demokratická strana,ODS,ODS,10,2390,2.46,6,1,2010
892,Hrib Milan,,45,Sdružení Mostečané Mostu,S.cz,S.cz,14,9508,2.24,14,1,2010
893,Hrneček Jaroslav,,72,Komunistická str.Čech a Moravy,KSČM,KSČM,45,1493,1.81,40,0,2010
894,Hrneček Jindřich,,50,Komunistická str.Čech a Moravy,KSČM,KSČM,42,1721,2.09,37,0,2010
895,Hromadová Marta Mgr.,Mgr.,66,Sdružení Mostečané Mostu,NK,BEZPP,24,9328,2.2,24,1,2010
896,Hrubá Kateřina,,28,OK-Občanský Kontext,SZ,SZ,3,552,2.74,0,0,2010
897,Hrvol Jaroslav Ing.,Ing.,25,Sdružení Mostečané Mostu,NK,BEZPP,44,8477,2.0,18,0,2010
898,Hudský Marek Bc.,Bc.,35,Česká str.sociálně demokrat.,ČSSD,ČSSD,28,2323,2.19,22,0,2010
899,Hukalová Zděnka,,54,Občanská demokratická strana,ODS,ODS,20,1985,2.04,16,0,2010
900,Hulák Lukáš,,29,TOP 09,TOP 09,TOP 09,23,1047,2.52,18,0,2010
901,Hýsek Josef Ing.,Ing.,56,Komunistická str.Čech a Moravy,KSČM,KSČM,24,1778,2.16,19,0,2010
902,Hyxa Ladislav,,54,"""Občané městu, město občanům""",OMMO,OMMO,30,334,1.97,0,0,2010
903,Chejn Jan,,55,Sdružení Mostečané Mostu,NK,BEZPP,43,8573,2.02,17,0,2010
904,Chlupsa David,,19,OK-Občanský Kontext,SZ,BEZPP,43,324,1.61,0,0,2010
905,Chocová Libuše,,66,Věci veřejné,VV,BEZPP,40,547,1.92,0,0,2010
906,Chybová Zdeňka,,33,Česká str.sociálně demokrat.,ČSSD,ČSSD,12,2383,2.24,6,0,2010
907,Chytrá Radka,,42,TOP 09,TOP 09,TOP 09,35,969,2.33,28,0,2010
908,Ittner David,,18,TOP 09,TOP 09,TOP 09,15,1070,2.57,13,0,2010
909,Ittner Jaroslav,,44,Občanská demokratická strana,ODS,ODS,31,2067,2.13,26,0,2010
910,Ittnerová Dana,,45,TOP 09,TOP 09,TOP 09,5,1183,2.84,7,0,2010
911,Janout Václav,,43,Občanská demokratická strana,ODS,ODS,5,2081,2.14,5,0,2010
912,Janšová Lucie,,26,"""Občané městu, město občanům""",OMMO,BEZPP,12,435,2.56,0,0,2010
913,Jelínek Stanislav,,18,Komunistická str.Čech a Moravy,KSČM,BEZPP,33,1715,2.08,28,0,2010
914,Jelínková Iveta,,41,Komunistická str.Čech a Moravy,KSČM,KSČM,10,1959,2.38,5,0,2010
915,Jeníčková Hana JUDr.,JUDr.,61,Sdružení Mostečané Mostu,S.cz,S.cz,8,9927,2.34,8,1,2010
916,Jermakovová Kateřina,,36,Česká str.sociálně demokrat.,ČSSD,ČSSD,36,2281,2.15,30,0,2010
917,Ježek Jiří,,60,Komunistická str.Čech a Moravy,KSČM,KSČM,12,1964,2.38,7,0,2010
918,Ježek Jiří Ing.,Ing.,43,Občanská demokratická strana,ODS,ODS,21,2248,2.31,17,0,2010
919,Ježková Simona Ing.,Ing.,41,Občanská demokratická strana,ODS,ODS,39,2142,2.21,33,0,2010
920,Jirásek František Ing.,Ing.,39,TOP 09,TOP 09,TOP 09,41,979,2.35,33,0,2010
921,Jirka Petr,,33,Občanská demokratická strana,ODS,ODS,40,2083,2.14,34,0,2010
922,Jírovcová Hana Bc.,Bc.,29,Komunistická str.Čech a Moravy,KSČM,KSČM,2,2114,2.56,2,1,2010
923,Jírovec Václav,,61,Komunistická str.Čech a Moravy,KSČM,KSČM,4,1989,2.41,5,1,2010
924,Johanisová Ilona,,38,TOP 09,TOP 09,TOP 09,24,1068,2.57,19,0,2010
925,Jochman František Ing.,Ing.,61,Komunistická str.Čech a Moravy,KSČM,KSČM,38,1756,2.13,33,0,2010
926,Jung Jiří,,60,Komunistická str.Čech a Moravy,KSČM,KSČM,41,1686,2.04,36,0,2010
927,Jung Zdeněk,,28,Komunistická str.Čech a Moravy,KSČM,KSČM,20,1790,2.17,15,0,2010
928,Jungmann Martin,,41,Komunistická str.Čech a Moravy,KSČM,BEZPP,14,1827,2.22,9,0,2010
929,Kačer František Ing.,Ing.,52,TOP 09,TOP 09,TOP 09,1,1378,3.31,2,0,2010
930,Kadlec Igor,,56,Sdružení Mostečané Mostu,NK,BEZPP,27,9381,2.21,1,0,2010
931,Kalkus Petr,,65,Česká str.sociálně demokrat.,ČSSD,ČSSD,13,2342,2.2,7,0,2010
932,Karfík David Ing.,Ing.,25,Věci veřejné,VV,BEZPP,13,741,2.61,0,0,2010
933,Kastl Václav,,36,Dělnic.str.sociální spravedl.,DSSS,BEZPP,45,343,1.81,0,0,2010
934,Kastlová Jana,,34,Dělnic.str.sociální spravedl.,DSSS,BEZPP,37,396,2.09,0,0,2010
935,Kašová Martina,,28,Komunistická str.Čech a Moravy,KSČM,BEZPP,31,1770,2.15,26,0,2010
936,Kašpar Michal,,33,Dělnic.str.sociální spravedl.,DSSS,DSSS,2,488,2.57,0,0,2010
937,Kašpar Milan,,45,Dělnic.str.sociální spravedl.,DSSS,BEZPP,34,407,2.15,0,0,2010
938,Kazda Josef,,22,Dělnic.str.sociální spravedl.,DSSS,BEZPP,32,408,2.15,0,0,2010
939,Kelichová Helena,,29,Občanská demokratická strana,ODS,ODS,34,1992,2.05,28,0,2010
940,Kiss Lukáš,,18,Dělnic.str.sociální spravedl.,DSSS,BEZPP,28,415,2.19,0,0,2010
941,Kissová Helena,,22,Dělnic.str.sociální spravedl.,DSSS,BEZPP,15,426,2.25,0,0,2010
942,Klepiš Petr MUDr.,MUDr.,41,OK-Občanský Kontext,SZ,SZ,5,891,4.43,0,0,2010
943,Klepišová Jana DiS.,DiS.,30,OK-Občanský Kontext,NK,BEZPP,36,476,2.36,0,0,2010
944,Klíma Petr Ing.,Ing.,53,Sdružení Mostečané Mostu,NK,BEZPP,28,9396,2.22,2,0,2010
945,Klímová Helena,,43,Dělnic.str.sociální spravedl.,DSSS,BEZPP,23,440,2.32,0,0,2010
946,Knábová Miroslava,,33,Dělnic.str.sociální spravedl.,DSSS,BEZPP,30,409,2.16,0,0,2010
947,Kocánek Josef,,52,Věci veřejné,VV,BEZPP,30,637,2.24,0,0,2010
948,Köhlerová Lenka,,41,"""Občané městu, město občanům""",OMMO,OMMO,14,375,2.21,0,0,2010
949,Kohout Emil,,61,"""Občané městu, město občanům""",OMMO,BEZPP,25,342,2.0100000000000002,0,0,2010
950,Kohoutová Marcela,,54,"""Občané městu, město občanům""",OMMO,BEZPP,8,404,2.38,0,0,2010
951,Koleszárová Pegy,,38,Sdružení Mostečané Mostu,NK,BEZPP,21,9403,2.22,21,1,2010
952,Komínek Renné Ing.,Ing.,43,Občanská demokratická strana,ODS,ODS,23,2300,2.37,19,0,2010
953,Končel Jiří Ing.,Ing.,25,OK-Občanský Kontext,NK,BEZPP,27,393,1.95,0,0,2010
954,Končel Petr MUDr.,MUDr.,52,OK-Občanský Kontext,SZ,SZ,7,774,3.85,0,0,2010
955,Končelová Zlata,,19,OK-Občanský Kontext,SZ,BEZPP,40,374,1.86,0,0,2010
956,Kondrová Irena Mgr.,Mgr.,55,Komunistická str.Čech a Moravy,KSČM,KSČM,15,1899,2.3000000000000003,10,0,2010
957,Kopáček Daniel,,33,"""Občané městu, město občanům""",OMMO,BEZPP,35,337,1.98,0,0,2010
958,Kopečná Ivana,,46,Věci veřejné,VV,BEZPP,20,628,2.21,0,0,2010
959,Koranda Jiří Ing.,Ing.,52,Sdružení Mostečané Mostu,S.cz,S.cz,12,9536,2.25,12,1,2010
960,Košťálová Zdeňka,,56,Komunistická str.Čech a Moravy,KSČM,KSČM,30,1764,2.14,25,0,2010
961,Kotiš Ladislav Mgr.,Mgr.,29,Věci veřejné,VV,BEZPP,10,698,2.46,0,0,2010
962,Kotlan Roman,,46,Česká str.sociálně demokrat.,ČSSD,ČSSD,14,2417,2.27,8,0,2010
963,Kouda Ondřej Ing.,Ing.,25,Česká str.sociálně demokrat.,ČSSD,ČSSD,22,2338,2.2,16,0,2010
964,Kouda Pavel Ing.,Ing.,51,Česká str.sociálně demokrat.,ČSSD,ČSSD,5,2551,2.4,5,1,2010
965,Koudelka Libor,,40,"""Občané městu, město občanům""",OMMO,BEZPP,13,380,2.24,0,0,2010
966,Kout Jiří,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,20,2355,2.22,14,0,2010
967,Koutová Jiřina,,45,Česká str.sociálně demokrat.,ČSSD,ČSSD,38,2207,2.08,32,0,2010
968,Kovárnická Nikola,,19,"""Občané městu, město občanům""",OMMO,OMMO,27,339,1.99,0,0,2010
969,Kovárnická Vladimíra,,40,"""Občané městu, město občanům""",OMMO,OMMO,20,349,2.05,0,0,2010
970,Kovář Martin,,30,Česká str.sociálně demokrat.,ČSSD,ČSSD,45,2014,1.8900000000000001,39,0,2010
971,Kovářík Antonín,,64,Dělnic.str.sociální spravedl.,DSSS,BEZPP,26,405,2.14,0,0,2010
972,Kovářík Pavel,,41,Dělnic.str.sociální spravedl.,DSSS,DSSS,3,490,2.58,0,0,2010
973,Kozlová Petra,,24,OK-Občanský Kontext,NK,BEZPP,22,392,1.95,0,0,2010
974,Kraček Miloš,,32,Věci veřejné,VV,BEZPP,43,512,1.8,0,0,2010
975,Kraitl Karel,,38,Česká str.sociálně demokrat.,ČSSD,ČSSD,26,2339,2.2,20,0,2010
976,Král Petr Ing.,Ing.,54,TOP 09,TOP 09,TOP 09,10,1142,2.75,9,0,2010
977,Kratochvíl Jiří,,30,"""Občané městu, město občanům""",OMMO,BEZPP,32,346,2.04,0,0,2010
978,Krejčíř Vojtěch JUDr.,JUDr.,59,Sdružení Mostečané Mostu,NK,BEZPP,10,9613,2.27,10,1,2010
979,Krhounek Jiří MUDr.,MUDr.,55,Občanská demokratická strana,ODS,ODS,16,2691,2.77,2,1,2010
980,Kroužek Jiří,,51,Občanská demokratická strana,ODS,ODS,45,1689,1.74,39,0,2010
981,Kroužková Zuzana,,21,Občanská demokratická strana,ODS,ODS,38,1958,2.02,32,0,2010
982,Kříž Jiří,,19,Dělnic.str.sociální spravedl.,DSSS,DSSS,13,416,2.19,0,0,2010
983,Kubal Tomáš,,36,Občanská demokratická strana,ODS,ODS,25,2611,2.69,3,1,2010
984,Kubík František,,52,Sdružení Mostečané Mostu,NK,BEZPP,36,9223,2.18,10,0,2010
985,Kubík Martin,,34,Komunistická str.Čech a Moravy,KSČM,KSČM,27,1803,2.19,22,0,2010
986,Kudláčková Marcela,,54,Občanská demokratická strana,ODS,ODS,32,2031,2.09,27,0,2010
987,Kudrlička Jaroslav Ing.,Ing.,49,Občanská demokratická strana,ODS,ODS,17,2184,2.25,13,0,2010
988,Kudrna Libor Bc. DiS.,Bc.,29,OK-Občanský Kontext,NK,BEZPP,8,421,2.09,0,0,2010
989,Kuncová Dana Ing.,Ing.,38,Věci veřejné,VV,BEZPP,39,591,2.08,0,0,2010
990,Kunz Vilém Ing. Ph.D.,Ing.,36,OK-Občanský Kontext,NK,BEZPP,21,549,2.73,0,0,2010
991,Kurcin Jiří,,61,Komunistická str.Čech a Moravy,KSČM,KSČM,7,2415,2.93,1,1,2010
992,Kurcin Radek,,37,Komunistická str.Čech a Moravy,KSČM,KSČM,13,1944,2.36,8,0,2010
993,Kurková Kateřina Ing.,Ing.,34,Sdružení Mostečané Mostu,NK,BEZPP,33,9414,2.22,7,0,2010
994,Kusá Šárka,,32,TOP 09,TOP 09,TOP 09,14,1091,2.62,12,0,2010
995,Kvasničková Andrea,,31,TOP 09,TOP 09,TOP 09,31,985,2.37,24,0,2010
996,Landová Martina Mgr.,Mgr.,46,TOP 09,TOP 09,TOP 09,4,1220,2.93,6,0,2010
997,Laur Roman,,68,Komunistická str.Čech a Moravy,KSČM,KSČM,43,1661,2.0100000000000002,38,0,2010
998,Libecajtová Lucie,,32,Sdružení Mostečané Mostu,NK,BEZPP,23,9408,2.22,23,1,2010
999,Libichová Marie,,48,OK-Občanský Kontext,NK,BEZPP,37,440,2.18,0,0,2010
1000,Linek Jaroslav,,57,"""Občané městu, město občanům""",OMMO,BEZPP,39,335,1.97,0,0,2010
1001,Linet Pavel,,27,TOP 09,TOP 09,TOP 09,36,947,2.2800000000000002,29,0,2010
1002,Lisá Zuzana Ing.,Ing.,26,TOP 09,TOP 09,TOP 09,19,1160,2.79,15,0,2010
1003,Lískovcová Danuše,,45,Věci veřejné,VV,BEZPP,5,1004,3.54,0,0,2010
1004,Löffler Alena,,41,Česká str.sociálně demokrat.,ČSSD,ČSSD,8,2331,2.19,2,0,2010
1005,Losos Martin,,33,Sdružení Mostečané Mostu,NK,BEZPP,39,9113,2.15,13,0,2010
1006,Lucák Jan,,37,Dělnic.str.sociální spravedl.,DSSS,BEZPP,19,433,2.2800000000000002,0,0,2010
1007,Ludvig Dušan,,39,Věci veřejné,VV,BEZPP,32,665,2.34,0,0,2010
1008,Lukáš Jan,,32,TOP 09,TOP 09,TOP 09,33,966,2.32,26,0,2010
1009,Lutz Karel,,21,"""Občané městu, město občanům""",OMMO,BEZPP,22,346,2.04,0,0,2010
1010,Macurová Ludmila,,48,Česká str.sociálně demokrat.,ČSSD,ČSSD,21,2300,2.16,15,0,2010
