,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
1808,Filipek Karel,,38,Komunistická str.Čech a Moravy,KSČM,BEZPP,20,1201,2.19,16,0,2018
1809,Formánek Petr,,38,ProMOST,ProMOST,ProMOST,12,4498,2.2600000000000002,12,1,2018
1810,Fric Petr,,47,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,6,746,2.38,0,0,2018
1811,Fröhlich Petr Bc.,Bc.,42,"Občané městu, město občanům",OMMO,BEZPP,11,173,5.48,0,0,2018
1812,Frolík David,,41,Otevřená radnice Most,Hora 2014,BEZPP,35,352,2.06,0,0,2018
1813,Fuchsová Jarmila Ing.,Ing.,39,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,15,761,2.43,0,0,2018
1814,Gabriš Dominik,,21,Hnutí za zrovnopráv. maminek,NK,BEZPP,40,88,1.86,0,0,2018
1815,Gajdica Milan,,53,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,11,721,2.3000000000000003,0,0,2018
1816,Gál Tomáš,,31,Otevřená radnice Most,Hora 2014,BEZPP,27,360,2.1,0,0,2018
1817,Gallíková Kateřina,,37,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,12,718,2.29,0,0,2018
1818,Grimmová Marie,,19,Hnutí za zrovnopráv. maminek,NK,BEZPP,35,88,1.86,0,0,2018
1819,Groman Vítězslav,,48,Otevřená radnice Most,Hora 2014,BEZPP,42,341,1.99,0,0,2018
1820,Gyurján Michal DiS.,DiS.,31,ANO 2011,ANO,BEZPP,22,2498,2.24,13,0,2018
1821,Hanejko Ondřej,,23,Česká str.sociálně demokrat.,ČSSD,ČSSD,20,483,2.14,0,0,2018
1822,Hanejko Stanisław,,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,30,477,2.11,0,0,2018
1823,Harvan Martin,,44,Občanská demokratická strana,ODS,BEZPP,28,1241,2.12,24,0,2018
1824,Hasman Jiří,,69,Občanská demokratická strana,ODS,ODS,11,1395,2.39,8,0,2018
1825,Haufová Adriana Mgr. Bc.,Mgr.,61,Otevřená radnice Most,Hora 2014,BEZPP,32,360,2.1,0,0,2018
1826,Hauserová Petra,,41,Sdružení Mostečané Mostu,NK,BEZPP,36,2380,2.14,28,0,2018
